Galaxy,Chi2_NFW,Chi2_LogSVT,b0_m,chi,k1,k2,a1_tilde,a2_tilde,Mass_Msun
NGC7331,171.39718077779858,,,,,,,,286009592489.49646
NGC7793,1.8222375598081955,1.3464345148666246,2818.2241297555006,7.427137816250587e-36,8.946019085071541e-23,0.011692586598631595,-99.99999999999761,5e-26,9949650853.191534
NGC7814,11.625842481374574,,,,,,,,80027596454.23877
PGC51017,4.867724497571595,inf,3580.425689683588,0.0043130574240770846,2.5963384772639237e-44,0.0013120633706991322,-99.99999999999999,5e-26,347638220.74863225
UGC00128,3.4175188549332445,4.040506728416081,4356.532059426321,7.512538037145495e-05,0.17667155527592973,0.011914995866263815,-19.66660034448568,5e-26,27942691546.67268
UGC00191,2.9160540543640283,3.723417425034807,937.8476609245173,1.6753002853074502e-14,0.0351968027397697,0.2324055274389931,99.99999976239042,5e-26,5005656003.031919
UGC00634,4.385833706526938,inf,3483.026649774891,6.312621394504653e-06,1.1604548411515657e-12,0.015338115061171491,-99.99938707939428,5e-26,8857668752.194305
UGC00731,0.3106638748413844,0.14231402311340188,1555.4902665697462,1.0340237379551669e-07,0.26865625400342064,0.09156905693296681,-99.99999812788877,5e-26,3659584826.0019393
UGC00891,7.042310102184587,inf,1597.689297007484,1.096440180994583e-06,9.85234280098552e-09,0.032369788910311025,-99.99844317588317,5e-26,1228682024.7343006
UGC01230,0.9698423093656567,0.5024985277998373,2807.0562616765947,4.0089389391050045e-28,5.547100703756595e-43,0.0544986612514985,-99.99857962398907,5e-26,21599849179.35972
UGC01281,1.5124216964970665,0.18954541114142232,1198.5020207812665,2.2931951364062354e-37,1.7200315324367827e-11,0.08358109200210471,-99.99015858407753,5e-26,871260513.4727304
UGC02023,1.0387660046428036,inf,4999.9920412056845,9.383571361362708e-32,1.1560549031752179e-37,0.006033784310575038,-99.99999999999655,5e-26,1507613403.2100182
UGC02259,0.9135854770595809,1.5716660408578313,2743.3858974705036,2.3709106140419743e-09,0.8573611074534898,0.006093372949233335,99.98106220870582,5e-26,3379806483.2791204
UGC02455,125.95270006827515,351.18262308920043,84.18561359519545,1.2076227922220947e-17,1.1632030667966222e-08,1.6892621840941344e-14,-99.99996935557687,5e-26,4819253833.026035
UGC02487,59.72659478817007,,,,,,,,546606892239.5493
UGC02885,5.622907863505705,,,,,,,,579932211206.0006
UGC02916,253.80262911271436,274.84925207730873,2.3609825148571746,1.124586320252543e-11,0.007072055224475196,0.00012488572233382931,-99.7542071536526,5e-26,179821461830.1708
UGC02953,130.753282493069,,,,,,,,277221019224.0712
UGC03205,6.912977802265663,6.886801228653316,4999.990576620891,0.6284545927080061,4.962936555857427e-11,0.003414808975729991,99.99711872139684,5e-26,134448043614.95592
UGC03546,36.91151747372732,34.75031839093452,4997.882621097078,6.229197691742487e-22,1.2177486884705872e-28,0.0015055234891795423,44.72608541234449,5e-26,109651035338.5679
UGC03580,133.1593939455401,110.81559867556227,4999.999802379535,3.154102224979748e-11,3.751522660613309e-11,0.004068958814975851,-99.9999394092486,5e-26,21254403088.64868
UGC04278,2.5974138600396883,0.5030170838570295,4999.606310761788,0.007313043046274598,1.2836595832082944e-06,0.010822550332520619,-23.94923724087501,5e-26,4122672387.9365077
UGC04305,2.5750481538743477,1.4456555759894565,30.652433579137845,3.0051235053154934e-18,1.43705321458557e-10,0.49999999999899375,-99.99999999499977,5e-26,1878366578.235769
UGC04325,2.2620798158469775,2.275062190622571,1612.9903997632414,0.13178675595836375,3.843982402483121e-13,0.49999999999999994,-99.99999997488548,5e-26,3799204402.324159
